tokenId,weapons,faces,body,location,sport,pets,flowers,traffic,probability score,probability rarest,rare score,rare rarest
19,🎸,😀,👨‍🍳👩‍🍳,🏕️,🏃,🦄,🌷 🔵,"""🚮 🔠"" 🚤 🔵",35.46654643,3145,1814,2779
20,🧹 🟡,😄,"""🚸✖️0️⃣"" 👨‍🎨👩‍🎨 ⚪ 🆙",🌇 🟡,🏋️,🐹,🍀,⛵,39.83017934,1414,1738,2340
21,🖋️,🤣,🤴👸,🏙️ 🔴,"""🈂️ 🔣"" 🤸 🟠",🐻 🔴,🌺,🚐 🟡,38.30612592,1878,1624,1788
22,"""🤍✖️🔤"" 🗡️ ⚪ 🆙",🤮 🟤,👨‍🚀👩‍🚀 🟣,🌉,🏇,🐷 🟢,🌷,🛩️,40.78964917,1108,1509,1190
23,🧯,😝,"""🛂✖️7️⃣"" 👨‍🎓👩‍🎓 🟡 🆙",🌃,🤺,🐴,💮,🛵,31.5973954,5336,2307,6154
24,🛡️,😁,👨‍🔧👩‍🔧,🌉,⛷️,🐹,🌸,🛺,25.4343646,7941,2770,7971
25,🧹,🥰,👨‍🎨👩‍🎨 🟠,🌇,⛷️,🐻 🔴,🌹,🚤,31.80916184,5168,1972,3915
26,🪓 ⚪,🤮,👩‍🏫👩‍⚖️,⛪,⛷️,🐷 🟢,🏵️,⛵,30.99980783,5855,2030,4234
27,🎸,😂 🔵,👮‍♂️👮‍♀️ 🟤,🏖️,🛀,🦁,🌹,🚜,32.90118788,4569,2119,4977
28,🗡️,🥰,👨‍🌾👩‍🌾 🟠,🏖️,🛀,🐹,🌼 🟤,🚁,32.47210891,4784,1891,3406
29,🔦 🟢,🤣,👨‍🎤👩‍🎤,🌆,🛀,🐹,🌵,🛺,28.37755087,7111,2458,7170
30,🛠️,"""🚫 3️⃣"" 😆 🟠",👨‍🚀👩‍🚀,⛪,🤸,🐵 🟤,🌳,🛴,33.27901053,4396,2094,4740
31,⛓️,🥰,👨‍🏫👩‍🏫,"""🚮 9️⃣"" ⛺ ⚫",🛀,🐷 🟤,🌼,🛺 🔴,33.46067938,4319,1883,3345
32,🧹,😴,👨‍🌾👩‍🌾,⛺,🚶 🔴,🐷 🟢,🌵,🛺,30.59707851,5977,2113,4916
33,🪓 ⚫,😄,👨‍🔧👩‍🔧,🌆,⛹️ 🔵,🐹,🌺,🛩️,32.57784683,4741,2261,5939
34,🛡️,😡 🟠,👨‍🎤👩‍🎤 ⚪,🌋 🟣,🤸,🦁,🌸,🛴 🟡,38.16598454,1928,1667,1995
35,💉,😀,👨‍🌾👩‍🌾,🌇,🚴,🐱,🌻 🟠,🚤,29.30692576,6459,2161,5352
36,🔦,😎,👨‍🍳👩‍🍳,🌄,🤺,🐵,🏵️,🛴,25.72535408,7614,2632,7567
37,💉,🤢,👨‍💼👩‍💻 ⚪,🏙️,🚴,🐴,🏵️,🛵,30.01636188,6124,2240,5837
38,🔨,😘,🤴👸 🟡,🌅,🛌,"""👅 3️⃣"" 🦁 ⚫",🌹,🚜 🔵,36.87663143,2585,1636,1849
39,🔧,"""💹✖️8️⃣"" 🤠 ⚪ 🆙",👨‍🔧👩‍🔧 🟢,🎪 ⚪,🏌️,🐴,🌸,🛵,37.66607318,2154,1893,3423
40,🛠️,🤮 🔴,👨‍💻👩‍💻,🌇 🟠,🛌 🔴,🐨,🍀,🛵 ⚫,36.5012863,2733,1654,1928
41,🧯,😨,👨‍🎤👩‍🎤,🏕️,🏇,🐮,🌸 🟤,🚌 🟠,30.26372409,6057,1918,3598
42,📌,"""🧡 🔢"" 😀 ⚫",👨‍🎓👩‍🎓,🎢,🕺,🐮,🌷,🚜,31.12109245,5780,2438,7048
43,🪒 ⚫,🤠,👨‍🎤👩‍🎤,⛺,"""💭✖️1️⃣"" 🧗 🟣 🆙",🐯,🌺,🛸,34.72913969,3588,2179,5515
44,⛓️,😝,👨‍🍳👩‍🍳,"""🚫 8️⃣"" 🏙️ ⚫",🏌️,🐼,🌹 ⚫,🚙,34.95629219,3417,1877,3290
45,⛓️,😴 🟣,👨‍🏭👩‍🏭,⛩️,🤺,🐱 🔴,🌻,"""🚳✖️0️⃣"" 🛸 ⚪ 🆙",37.12035732,2461,1686,2087
46,🧯,😅 ⚫,👨‍🌾👩‍🌾,🌁 🔵,⛷️,🐻 🟢,🌻 🟤,🏎️ 🟣,40.48693118,1204,1115,286
47,🖋️,🤯,👨‍🚀👩‍🚀 🔴,🏔️,🤾,🐰,🌷,🚤,28.31411976,7140,2354,6443
48,🏹,🤠,👨‍🍳👩‍🍳,🌄,🤸,🐯,🍀,🛴,25.51670985,7872,2696,7801
49,🔫,😴,👨‍⚕️👩‍⚕️,🏟️,🏌️ 🟡,🦁 🟠,🌺 ⚪,🛺 🔴,36.80675125,2621,1329,703
50,🧯,😅,👨‍✈️👩‍✈️,"""👅 🔟"" 🏜️ 🔵",🤾,🐵,🌻,🚜,31.50823217,5411,2286,6051
51,🪓,"""🛃 🔣"" 🤐 🟠",👨‍🌾👩‍🌾,🌄,🤽,🦄,🌼,🚜,29.99049419,6136,2433,7026
52,🗡️,🤐,👨‍🚀👩‍🚀,🏔️,🤺,🐰,🌹,🛴,25.51396301,7874,2701,7823
53,🧹,😁,👨‍🎓👩‍🎓 🔵,🎪,🏊,"""🛃 8️⃣"" 🐶 🔵","""⭕✖️6️⃣"" 🌵 ⚪ 🆙",🛺 🔴,43.08249028,605,1214,418
54,💉,😂 🔴,👨‍🏭👩‍🏭,🌃 🔴,🤺 🟤,🐮,🌳,🚄,35.09206721,3335,1883,3346
55,⛓️,😄 🟤,👨‍🔧👩‍🔧 🟢,🏙️,🤽,🦊,🌼,🚌,32.4288924,4809,2035,4270
56,🔫,🤢,👨‍🎓👩‍🎓,⛪,🚶,🦊,🍀 ⚪,🚤,30.31987254,6045,2064,4501
57,⛓️,🤮,👨‍🔧👩‍🔧,🎢,"""🚼 3️⃣"" 🏊 🔵",🐻,"""🛂✖️6️⃣"" 🌳 ⚪ 🆙",🛵,37.15659208,2429,1982,3955
58,🔧,😂,👨‍💼👩‍💻,🏔️,🏂,🐵,🏵️,🛺,25.56865347,7813,2675,7721
59,🪓,"""💦 0️⃣"" 🤣 🔵",👩‍🏫👩‍⚖️,"""👄✖️0️⃣"" 🏝️ 🟣 🆙","""🅿️✖️🔠"" 🏇 ⚪ 🆙",🦁,🌻,🏎️,42.42759932,740,1838,2960
60,"""🈂️ 🔢"" 📌 🟠",🥰,👨‍🔧👩‍🔧,⛺ 🟡,🚴,🐮,🏵️,🚌,34.61257677,3711,2143,5187
61,🔫,😂,👨‍💼👩‍💻 🟡,🌃,🕺,🐯,🌷,🚐,29.15678843,6566,2302,6124
62,🏹,😄,👨‍🏫👩‍🏫 🔴,🌇,"""🦴 🔤"" 🤺 ⚫",🐶 🟠,🌺,🚲,37.49963541,2261,1800,2670
63,⛏️,😆,👨‍🍳👩‍🍳 🟣,🏞️,⛹️ 🟣,🐷,"""🔞✖️🆓"" 🌼 🟡 🆙","""💹✖️0️⃣"" 🚐 🟡 🆙",43.88398719,462,1186,382
64,📌,😂 ⚪,👨‍⚕️👩‍⚕️,🌃 🔵,🏃 🟣,🐮,"""👣✖️1️⃣"" 🍀 ⚪ 🆙",🛩️,43.56189596,504,1403,874
65,🧹,🤠,"""🔞✖️1️⃣"" 👨‍🎓👩‍🎓 🟡 🆙",🌋 🔴,🛀,"""💭✖️5️⃣"" 🦊 🟣 🆙",💮,🏍️ 🟤,41.59655687,903,1566,1490
66,🪒,🥰,👨‍💻👩‍💻,"""💨✖️🔟"" 🌆 🟣 🆙",🤸 ⚫,🐻 🔴,🍀,🚙,37.49981221,2260,1714,2206
67,🖋️,🤣 ⚪,👨‍✈️👩‍✈️,🌆,🏋️ 🔴,🐨,🌵,"""🧡 4️⃣"" 🚜 🔵",38.0205041,1991,1876,3284
68,"""🀄 🔣"" 🛡️ 🔵",🙄 🟤,👨‍🎓👩‍🎓,🌋 ⚫,⛹️ 🟤,🐱,🌺,🛵 ⚫,42.9840778,621,1363,785
69,🔧,"""🅿️✖️🔣"" 🥶 🟣 🆙",👨‍🎤👩‍🎤,🎢,⛹️ 🟡,🐱 🔴,"""👀✖️🔤"" 🌻 🟡 🆙",🚐,43.09622509,602,1333,711
70,🎸,🥰 🟢,🤴👸,⛩️ 🔴,🤺 ⚪,"""🔰 6️⃣"" 🦁 🟠",🍀,"""💢 4️⃣"" 🚀 ⚫",48.09331761,111,1165,345
71,"""💙 7️⃣"" ⛏️ ⚫",😃,👨‍🍳👩‍🍳 🟠,🎢,🏃,🐨,🌸,🛵,35.20332998,3272,2114,4929
72,🧯,🥰,👨‍🎨👩‍🎨,🏝️,🏂,🐶,🌻 🟢,🚙 🟢,29.84943947,6184,1993,4015
73,🔧,😡,👨‍🎓👩‍🎓,🌋,⛷️,🐻,🌷 🟡,⛵,29.6067813,6277,2154,5285
74,🪒 🟣,😀,👨‍🚀👩‍🚀 ⚫,⛪,🤸,"""🧡 0️⃣"" 🐨 🟠",🌻 🟡,🛵 ⚫,45.39548174,297,863,72
75,🛠️,🥰,👨‍💼👩‍💻,🏞️,🚣,🐼,🌳 🔴,🛩️,28.93209508,6735,2185,5551
76,🔫,😡 🟣,👨‍💼👩‍💻,🌅,🏋️ 🟠,🦁,🌼,🚐,33.40860934,4336,2096,4758
77,🦯,😅,👨‍✈️👩‍✈️,🌉,⛹️ 🟠,🐰,"""🈂️ 🔠"" 💮 ⚫",🚙,35.97599636,2932,1797,2649
78,⛓️,🤯,🤴👸 🟤,⛩️ 🟤,🏊,🐯,🏵️ 🔴,🛵,34.78892625,3541,1659,1955
79,🦯 🔵,😝 🔴,👨‍🏭👩‍🏭,🎡,🛀,🐴,💮,🚜,32.6886992,4685,2198,5627
80,🛠️ 🟢,"""🔰 🆒"" 😎 🔵","""🗯️ 8️⃣"" 👨‍🔧👩‍🔧 🟠",🌁,🧗,🦄,🌹 🟤,🚤,43.07930437,609,1266,546
81,⛏️,🤣,"""🆚✖️🔠"" 👩‍🏫👩‍⚖️ ⚪ 🆙",🎪 ⚪,🏌️,🐵,🌻,"""💢 🔤"" 🚤 🔵",40.70880181,1129,1635,1844
82,🔨,😂,👨‍🎨👩‍🎨,"""🦴 5️⃣"" 🌋 🟠",🏌️,🐷 🟤,🌺,🚙,33.30940338,4382,2106,4854
83,🔫 🟢,"""🚮 4️⃣"" 😃 🟠",👨‍🏭👩‍🏭 🟣,🌋,⛷️,🐮,🌺,🚤,37.84443706,2066,1834,2925
84,🔫,"""🔷✖️9️⃣"" 🤣 🟡 🆙",👨‍🍳👩‍🍳 🟡,🌉,🤽,🐴 🟤,🌹,🚲,36.83583689,2607,1736,2330
85,"""💨✖️🆓"" 🧹 ⚪ 🆙",🥶,👨‍⚕️👩‍⚕️,🌁,"""👅 4️⃣"" 🏄 🔵",🐰,🏵️,🚐 🟡,38.5366279,1800,1808,2723
86,🖋️ 🟤,😂,👨‍🌾👩‍🌾,⛺,🚣,🦊,🌺,🚲,28.6107028,6977,2523,7375
87,🪒,🤮 🔴,👨‍🎨👩‍🎨,🏔️,🚶,🐻 🔴,🍀,⛵,30.88119632,5903,2043,4327
88,🧯 🟤,😰,"""📴 🔠"" 👩‍🏫👩‍⚖️ 🟠","""🛂✖️8️⃣"" 🎪 ⚪ 🆙",🤺,🐵,🏵️ 🔵,🏍️ 🟤,44.79852621,341,1044,206
89,🪒 ⚪,😄,👨‍🎓👩‍🎓 🟣,🏞️ 🟤,🏌️ ⚪,🦁,🌻,🛵,40.28883252,1261,1467,1030
90,🖋️,🤢,"""🦴 2️⃣"" 👮‍♂️👮‍♀️ ⚫",🏟️,🏂,🐹 🔵,🌼,🛵 ⚫,35.71077145,3048,1691,2117
91,🦯 🟠,😁,🤴👸,🌋 ⚫,🏌️ 🟢,🐼,🍀,🛸,38.2759585,1894,1780,2533
92,🦯,🤣 🔴,👩‍🏫👩‍⚖️,🌆,🤺,🦁,🌼,🛩️,28.46099454,7066,2461,7183
93,⛓️ 🟡,😂,👨‍🏭👩‍🏭,🏙️,"""🆚✖️9️⃣"" 🤽 🟡 🆙",🐴,🌷 🟣,🏍️,39.10793456,1610,1499,1139
94,🧹,🥶,👨‍⚕️👩‍⚕️,🏞️,🛌 ⚪,🐯,🍀,🚀,29.5496915,6306,2322,6230
95,🔧,😴,👨‍🚀👩‍🚀,🌋,🤽,🦄 ⚫,🌺 🟤,🛵,31.18094387,5735,1853,3083
96,⛓️,🥰 🟠,👨‍🍳👩‍🍳,⛪,🤸,🐰 🟡,🍀 🟤,🛩️,34.6303883,3695,1608,1718
97,🛠️,"""💜✖️4️⃣"" 😨 ⚪ 🆙",👨‍🎓👩‍🎓 ⚫,🌋,"""❎ 🔟"" 🤾 🟠",🐻 🟢,🏵️ 🟣,🚜 🔵,47.55500671,136,709,39
98,🗡️ 🔴,🤯,👨‍🔧👩‍🔧,🏔️,🚣,"""🛂✖️🔣"" 🐮 ⚪ 🆙",💮,⛵,34.8083846,3525,2095,4750
99,"""👣✖️🔤"" ⛏️ ⚪ 🆙",😃 🟤,👨‍🎤👩‍🎤,🌉,"""📵 🆒"" ⛷️ 🟠",🐮,🌼,🚐,39.86017826,1406,1840,2981
100,🔫 🟠,🥰,"""⭕✖️🔠"" 🤴👸 🟡 🆙",🌁,🧗,🐻,💮,🦽,35.51647708,3125,2061,4473
101,🏹,😡,"""🔞✖️6️⃣"" 👨‍🎨👩‍🎨 🟡 🆙",⛩️,⛷️,🐼,🏵️,🏍️,31.85109753,5141,2213,5715
102,🔧,🤣,👨‍🌾👩‍🌾,🏖️ 🟤,🤽,🐨 🔵,🍀,🚌,31.25180725,5666,2080,4625
103,⛓️ 🟤,"""🔰 🆓"" 😎 🔵",👮‍♂️👮‍♀️,🌃,🧗,🐵 🟢,🌺 ⚪,🚲 🟠,41.64850754,886,974,134
104,🔦,😴 ⚫,👨‍🔧👩‍🔧 🔴,🌃,🧗,🐰,💮,🚌,32.71607514,4675,2027,4217
105,🔨,😀 🟠,👨‍🏭👩‍🏭,🎢 🟤,🏋️,"""🗯️ 3️⃣"" 🦁 🟠",🌸 ⚪,"""👀✖️🔣"" 🛴 🟡 🆙",47.92031771,119,960,123
106,🔨,😰,👮‍♂️👮‍♀️,🏕️ 🔴,🏇,🐹,🌸,🚐,28.15022588,7199,2492,7310
107,💉,😴,👮‍♂️👮‍♀️,🎪,🏄,"""🚯 3️⃣"" 🐨 🔵",🌳,🦽,31.93395334,5094,2186,5557
108,🔫 🟤,🥰,👨‍🌾👩‍🌾 🔴,🏟️,🚶,"""🚫 🔢"" 🐹 ⚫",🌹 ⚪,🛺,41.90219083,837,1143,312
109,"""🔞✖️7️⃣"" 🦯 🟣 🆙",😝,👨‍🚀👩‍🚀,🌁,🧗,🐻,💮 ⚪,🚌,34.80825217,3526,1853,3084
110,"""🚳✖️4️⃣"" 🦯 ⚪ 🆙",😨,👨‍✈️👩‍✈️,🏟️,🏌️,🐮,🌻,🚐 🟡,32.97732544,4532,2047,4361
111,🛠️,🤠 🔴,👨‍🎓👩‍🎓 ⚪,🌅,🏂,🐻,🌳,🚁,32.64410521,4708,2118,4969
112,🔦,😎 🔴,👨‍💻👩‍💻,🎢,🤺,🐰 ⚪,"""💙 9️⃣"" 🌷 🟠",🚁 🟤,38.98387602,1657,1339,721
113,🔦,🤢,👨‍🎓👩‍🎓,🌆,🕺,🐻 🔴,🌷 🟠,🚐,31.60914212,5328,1830,2891
114,🎸,🤠,👨‍🏭👩‍🏭,⛺,🚶,🦊,🌷,🚐,25.4790706,7909,2736,7910
115,"""💙 🔢"" 🪒 🔵",🤠,👨‍🏫👩‍🏫,🌋,🏊,🐼,🌻 🟠,🚁,34.93226859,3438,1889,3392
116,⛓️ 🔵,🤣,🤴👸,⛲ 🟤,"""🚫 🆒"" 🤽 🟠",🐮,💮 🟤,🚤,41.88882068,842,1322,680
117,🏹,😀,👩‍🏫👩‍⚖️ 🟣,🏙️,🏃,🐻,🌷,🚙,29.17738053,6548,2304,6136
118,🛠️,😝,"""🛂✖️1️⃣"" 👨‍🎨👩‍🎨 🟣 🆙",⛺,🚣 🟤,🦄,🌹,🚌,34.56904409,3741,2030,4235
119,🖋️,🥶,👨‍🔧👩‍🔧,⛲,🛌,🐯,💮,🚲,25.40828301,7958,2763,7963
120,🔫,😡,👨‍🎨👩‍🎨,🌋,🏊 🔴,🐱,🌸 ⚪,🦽,32.53999954,4756,1832,2910
121,🔧 🔵,🤐 🟠,👨‍🏫👩‍🏫 🔴,🏞️,⛷️,"""🚮 2️⃣"" 🐶 🟠",🏵️,🚄,42.38812585,745,1359,773
122,🔦,😃,👨‍🔧👩‍🔧,🎪,🤺,🐯,🌵,⛵,25.72389653,7616,2655,7651
123,⛓️ 🟡,😄,👨‍🍳👩‍🍳,"""💹✖️🆒"" 🏞️ 🟣 🆙",🚶,"""💜✖️🆓"" 🐼 ⚪ 🆙",💮,🛵,40.72552171,1124,1762,2447
124,🔧,😅,👨‍🚀👩‍🚀 🔴,🏙️,🕺,🐯,🌸,🚙 🟢,29.49302069,6335,2142,5182
125,🗡️ 🔵,😄,👨‍🎤👩‍🎤 🔵,⛲,🛌,"""🚼 🔣"" 🐶 ⚫","""💢 🔢"" 🌳 ⚫","""💨✖️2️⃣"" 🛴 🟡 🆙",51.15373932,41,820,63
126,🛠️,😂,👨‍🌾👩‍🌾,🌃,"""🚼 🆒"" 🏊 🔵",🦊 🟣,🌹,🛩️,33.96629229,4114,2066,4518
127,🎸,🤯,👨‍🏫👩‍🏫,🏞️,🚣 🟤,"""🔰 🆒"" 🦁 ⚫","""🔷✖️8️⃣"" 🌼 🟣 🆙",🛵,40.82163549,1091,1502,1153
128,⛏️ ⚫,🤮,👨‍🏭👩‍🏭,🌁,🛀 🔴,🐨,🌹 ⚫,🚁 🟤,36.9605559,2543,1480,1070
129,🧯,😝,👨‍💼👩‍💻,⛩️,🏋️,🐹,💮,🚄,25.89599644,7469,2622,7538
130,💉,😅,"""💥✖️🔢"" 👮‍♂️👮‍♀️ 🟣 🆙",🌃 🔴,🏇,🐨,🌷,🏍️,34.56468804,3744,2062,4479
131,🔨,😁 ⚪,👨‍💻👩‍💻,🌄,🛀,🐵,🌺,🚙 🟢,30.70255748,5944,2261,5940
132,🖋️,"""🈂️ 1️⃣"" 😄 🔵",👨‍🎤👩‍🎤,⛪,🏋️,🐮,"""🔰 6️⃣"" 🍀 🔵","""🖤 6️⃣"" 🚲 🟠",43.26588707,570,1568,1503
133,🧯,😰,👨‍🍳👩‍🍳,🏔️,"""👄✖️🆓"" 🕺 ⚪ 🆙",🐷,🌺 🔴,🚜 🔵,35.92751688,2951,1625,1794
134,🧹,🤯,"""🖤 4️⃣"" 👨‍🏭👩‍🏭 🔵",🏟️ 🟤,"""💠✖️6️⃣"" 🕺 🟣 🆙",🐻,🏵️,"""💨✖️0️⃣"" 🏎️ 🟣 🆙",45.85136023,260,1474,1049
135,🪓,🥶 🔴,👨‍💻👩‍💻,🏜️,🚴,🐼 🟣,🍀,🛴,31.17922788,5737,2108,4868
136,🗡️,😴,👨‍🚀👩‍🚀,"""📴 2️⃣"" ⛪ 🟠",🚣,🐯,🏵️,🚤,30.43165129,6006,2421,6943
137,🦯,😂,👨‍🎨👩‍🎨,🏙️ 🔵,🧗 ⚫,🐷 🟤,🌳,🚐,35.87250163,2973,1810,2744
138,🔦 🟣,🤮,👨‍💻👩‍💻,🏖️ 🟢,🤺 🟡,🐵,🌺 🟢,⛵,39.71214392,1445,1353,754
139,🔧 🟤,😘,👨‍🏭👩‍🏭,🎪 🟤,⛷️,🐵 🟢,🌺,🚁,33.4038643,4338,1906,3513
140,🧯,😅,👨‍💼👩‍💻,⛪,🤺,🐯 🟡,🍀,🛸,28.7539026,6868,2246,5868
141,💉 🔴,😰 🟤,👮‍♂️👮‍♀️ 🟡,"""🚱✖️3️⃣"" 🌇 ⚪ 🆙",🏊,🐹,🌹,🚤,40.21462538,1294,1560,1464
142,🔦 🔴,😆,👨‍✈️👩‍✈️,🏜️,🏄,"""🤍✖️🔠"" 🐼 ⚪ 🆙",🍀,🚤,34.61256132,3712,1913,3555
143,🔧,🤣,👩‍🏫👩‍⚖️,🌁 🟡,🛌,🐼,🌸,🚤,29.26000126,6494,2480,7258
144,💉 🔵,😡,👨‍🎤👩‍🎤,🌋,🏋️ 🟡,🐼,💮,🦽 ⚪,34.62323804,3702,1836,2940
145,🛡️,😆,👨‍🏫👩‍🏫 🔵,⛲ 🔴,🛀 ⚫,🦁,🌳,🛴,35.30425186,3224,1841,2990
146,🏹,"""🚳✖️5️⃣"" 😅 ⚪ 🆙",👨‍✈️👩‍✈️,🎪 🔴,🚶,🐹,🌺 🟠,🚁 🟤,39.0926645,1614,1468,1033
147,🛠️,🤠,👨‍🎨👩‍🎨,🌅,🏄 🟤,🦁,🌳 🟣,🚄 🔴,33.19741411,4434,1732,2309
148,💉,"""🛅✖️🆓"" 😘 ⚪ 🆙",👨‍🎨👩‍🎨,🏝️,"""👅 4️⃣"" ⛷️ 🟠",🐱,🌼,🛸,36.95714463,2546,2073,4572
149,🪒,😰,👨‍🍳👩‍🍳,🏜️,🛀,🐻 🟤,🌼,🚌,28.07540908,7209,2240,5838
150,🔨 🟤,"""🔸 🔟"" 😅 🟠",👮‍♂️👮‍♀️,🎪 🔴,🏋️ 🟡,🐵 🔴,🍀,🚄 🔴,44.13011668,427,1043,203
151,🧹,"""💙 🆓"" 😰 🟠",👨‍🚀👩‍🚀,🏖️,⛹️,🐻 🟢,🍀 🔴,🚀,36.21434682,2837,1567,1498
152,📌 🔵,🤐,👮‍♂️👮‍♀️,⛺,🛀,🐨,🌳,🚁,29.02288491,6668,2412,6888
153,🪒,😆,👨‍🚀👩‍🚀 🔴,🌋,🛀,🐹,🌸,🏎️,28.2932129,7156,2391,6716
154,🗡️,😆 ⚫,👨‍💻👩‍💻,🏞️ ⚫,🛌 🔴,"""🛂✖️🔢"" 🐼 ⚪ 🆙",🌻,🚐,41.57862122,905,1484,1086
155,⛓️ 🔴,😨 🔵,👨‍🎓👩‍🎓,🌄,🏂,🐯 🟡,🌳,🛵,36.44751043,2752,1762,2448
156,⛓️ 🟠,😴,👨‍🍳👩‍🍳,🎡,🧗,🐵 🟢,🏵️,🚙,31.84992587,5144,1990,3991
157,🔦 🟤,🤮,"""📴 🔠"" 👨‍🎤👩‍🎤 ⚫",🌆,🏇 🟤,🦄,🍀,🚄 🔴,38.81118724,1714,1604,1694
158,📌 🔴,🤯 🟢,"""🈂️ 🔢"" 🤴👸 🟠",🎢 🔴,🧗,"""🆙 1️⃣"" 🐶 🟠",🌻 🟡,🏎️ 🟣,52.15383681,30,378,7
159,⛏️,"""🔸 9️⃣"" 😅 🔵","""🔞✖️🔣"" 👨‍🏫👩‍🏫 🟡 🆙",⛺ 🟤,"""👥 🔣"" 🏃 🟠",🐮,🌳 🔵,🚄,49.5197176,76,990,147
160,🧯,😝 🟡,👨‍🍳👩‍🍳,⛺,🏂,🐻,🌵,"""🧠✖️🔠"" 🚐 🟡 🆙",35.28441652,3235,2115,4940
161,🪓,😝,👨‍🏫👩‍🏫,🎢,🛌,"""🔱✖️🔠"" 🐮 🟣 🆙",🌻 🟣,🛺,34.79986832,3532,1826,2857
162,🗡️ 🟠,😀,👨‍🎨👩‍🎨,🌃,⛷️,🐶,🌹,"""🚯 1️⃣"" 🚀 ⚫",34.71033813,3611,2066,4519
163,🔦,😴,👨‍🏫👩‍🏫,🏖️,🏃,🦄,🍀,🛩️,25.68505189,7661,2646,7619
164,🪓,🙄 🟡,👨‍🚀👩‍🚀,🏔️,🏄 🔴,🐮,🌹,🚲,31.76278479,5199,2218,5747
165,🛠️,🤯,👨‍💻👩‍💻,🏕️,⛹️,🐵,💮,🚜,25.66032205,7688,2678,7728
166,🔧,😀,👨‍💼👩‍💻,🏞️,🧗,🐵,🏵️,🚜,25.74694861,7589,2624,7546
167,"""🗯️ 7️⃣"" 🗡️ ⚫",😁,👨‍💻👩‍💻,⛲,🧗,🐻,🌻,🛺 🔴,32.58274671,4737,2054,4418
168,🔧 🟤,🥰 🔴,👮‍♂️👮‍♀️,🌄,🤺,🐻,🌳,🚄,31.64779272,5294,2081,4632
169,🔫,😄,👨‍🏫👩‍🏫,🏜️,"""👣✖️🆓"" 🤾 🟡 🆙",🐷,🌺,🛺,31.21067484,5709,2436,7043
170,⛏️,🤮,👨‍🏭👩‍🏭,🏟️,🤺,🐵,🌳,🛩️,25.55272621,7834,2685,7760
171,🔦,😂,👨‍🎤👩‍🎤,🏞️,🏋️,"""🖤 3️⃣"" 🐨 🔵",🌵,🚌,31.75450353,5210,2238,5830
